# 多職種連携ゲーム - チーム評価シート
# シナリオ: 退院直後の在宅生活確立と社会的孤立への対応 (copd_heart_failure_home_01)
# バージョン: 3.2 (他者評価方式対応)
# 生成日: 2025-11-29

# ========================================
# 【使用方法】
# 1. 黄色背景のセルに各ループ終了時のステータス値を入力
# 2. チーム評価（青色背景）は自動計算されます
# 3. Relevance指標で計算の信頼性を確認してください
# ========================================

# --- 入力欄（黄色背景） ---
カテゴリ,ステータス名,初期値,Loop 1,Loop 2,Loop 3,説明
患者,身体状態,5,,,,"呼吸困難、SpO2低下、心機能の状態"
患者,信頼と受容,3,,,,"専門職への信頼、治療・ケアの受容"
患者,自己決定の満足,4,,,,"自分の意思が尊重されているという実感"
患者,心理的安寧,3,,,,"不安、抑うつ、希死念慮の有無"
患者,社会的つながり,2,,,,"他者との交流、社会参加の状況"
家族（妻）,介護負担,7,,,,"日常的な介護による身体的・精神的負担"
家族（妻）,支援への期待,6,,,,"専門職や社会資源への期待・信頼"
家族（妻）,心理的苦痛,6,,,,"不安、抑うつ、孤立感"
看護師,患者安全確保,5,,,,"SpO2低下時の対応、転倒予防"
看護師,家族代弁,5,,,,"妻の介護負担を観察し、チームに報告"
看護師,心理社会的支援,5,,,,"患者のネガティブな発言への対応、社会的孤立への支援"
看護師,連携効果,5,,,,"PT、医師、ケアマネとの情報共有と役割分担"
PT,リハビリ進捗,5,,,,"心肺機能の代償能力の向上、SpO2回復時間の短縮"
PT,患者安全確保,5,,,,"リハビリ中のSpO2モニタリング、転倒予防"
PT,情報提供,5,,,,"リハビリの目的・効果を患者・家族にわかりやすく説明"
PT,連携効果,5,,,,"看護師、医師、ケアマネとの情報共有と役割分担"
医師,症状管理,5,,,,"呼吸困難、SpO2低下、心不全の管理"
医師,患者安全確保,5,,,,"在宅酸素なしでの生命予後への懸念、SpO2低下時の対応"
医師,情報提供,5,,,,"在宅酸素導入の必要性、SpO2低下のリスクの説明"
医師,連携効果,5,,,,"看護師、PT、ケアマネとの情報共有と役割分担"
ケアマネ,資源調整,5,,,,"訪問看護、訪問リハビリ、デイサービスの調整"
ケアマネ,患者安全確保,6,,,,"デイサービス利用時の安全性、訪問リハビリ撤退時の機能維持"
ケアマネ,制度活用支援,5,,,,"介護保険の範囲内でのサービス調整、デイサービスの利用手続き"
ケアマネ,連携効果,4,,,,"看護師、PT、医師との情報共有と役割分担"

# --- 計算式エリア（自動計算） ---
# ※ 以下の計算式は参考です。実際のシートでは数式として実装してください

# 【患者中心性の計算】
# = (患者.信頼と受容 + 患者.自己決定の満足) / 2 * 0.6 + (看護師.連携効果 + PT.連携効果 + 医師.連携効果 + ケアマネ.連携効果) / 4 * 0.4
# 計算根拠: 患者の体験（信頼、自己決定）60% + 専門職の連携効果40%

# 【安全保障の計算】
# = 患者.身体状態 * 0.4 + (看護師.患者安全確保 + PT.患者安全確保 + 医師.患者安全確保 + 医師.症状管理 + ケアマネ.患者安全確保) / 5 * 0.6
# 計算根拠: 患者の身体状態40% + 専門職の安全確保・症状管理60%

# 【ケアの持続可能性の計算】
# = (10 - 家族.介護負担) * 0.3 + 家族.支援への期待 * 0.2 + (ケアマネ.資源調整) * 0.5
# 計算根拠: (10-家族の介護負担)30% + 家族の支援への期待20% + 専門職の資源調整50%

# 【家族支援の計算】
# = (10 - 家族.介護負担) * 0.3 + 家族.支援への期待 * 0.2 + (看護師.家族代弁) * 0.5
# 計算根拠: (10-家族の介護負担)30% + 家族の支援への期待20% + 専門職の家族代弁50%

# --- 結果表示エリア（自動計算） ---
評価軸,Loop 1,Loop 2,Loop 3,Relevance,計算根拠
患者中心性,,,,"✓ 完全（4/4職種）","患者の体験60% + 専門職の連携効果40%"
安全保障,,,,"✓ 完全（5/5職種）","患者の身体状態40% + 専門職の安全確保・症状管理60%"
ケアの持続可能性,,,,"✓ 完全（1/1職種）","(10-家族の介護負担)30% + 家族の支援への期待20% + 専門職の資源調整50%"
家族支援,,,,"✓ 完全（1/1職種）","(10-家族の介護負担)30% + 家族の支援への期待20% + 専門職の家族代弁50%"

# --- Relevance指標の説明 ---
# ✓ 完全（N/N職種）: 該当するすべての職種のステータスが参照されており、計算結果は信頼できる
# ⚠️ 部分的（N/M職種）: 一部の職種のステータスのみが参照されており、計算結果は参考程度
# ⚠️⚠️ 該当職種なし（0/0職種）: 該当する職種が参加していないため、この評価軸は計算不能

# --- 計算式の詳細（Excel/Google Sheets用） ---
