

```csv title="team_evaluation_sheet.csv"
# チーム評価シート（テストプレイ簡易版）
# シナリオ: 食べたいと言った日（oral_intake_challenge_kato_01）
# 日付: ________  グループ: ___  GM: ________
# 
# 【使い方】
# 1. 各ループのPhase 5で、他者評価の結果を記入してください
# 2. 初期値は事前に記入済みです
# 3. 各ループ終了時の値 = 前の値 + 変化量（±1〜2が基本）
# 4. 値は1〜10の範囲内に収めてください
# 
# ※テストプレイ版のため、患者・家族ステータスとチーム評価4軸の計算は省略しています
# ※職種ステータスの変動と他者評価の機能検証に集中してください

セクション,職種,ステータス,初期値,Loop1変化,Loop1値,Loop2変化,Loop2値,Loop3変化,Loop3値,目標値,達成
入力欄,医師,症状管理,5,,,,,,,8,
入力欄,医師,患者安全確保,5,,,,,,,8,
入力欄,医師,情報提供,5,,,,,,,7,
入力欄,医師,連携効果,5,,,,,,,8,
入力欄,看護師,患者安全確保,5,,,,,,,8,
入力欄,看護師,心理社会的支援,5,,,,,,,7,
入力欄,看護師,家族代弁,5,,,,,,,7,
入力欄,看護師,連携効果,5,,,,,,,8,
入力欄,ST,リハビリ進捗,3,,,,,,,8,
入力欄,ST,専門的貢献,4,,,,,,,8,
入力欄,ST,情報提供,5,,,,,,,7,
入力欄,ST,連携効果,5,,,,,,,8,
入力欄,MSW,資源調整,4,,,,,,,8,
入力欄,MSW,家族代弁,5,,,,,,,8,
入力欄,MSW,制度活用支援,5,,,,,,,7,
入力欄,MSW,連携効果,5,,,,,,,8,

# 
# 【参考指標】連携効果の平均（チーム全体の連携の質の目安）
# 
# 計算方法: (医師の連携効果 + 看護師の連携効果 + STの連携効果 + MSWの連携効果) / 4
# 
# Loop 1の連携効果平均: ______ / 4 = ______
# Loop 2の連携効果平均: ______ / 4 = ______
# Loop 3の連携効果平均: ______ / 4 = ______
# 
# 【参考】連携効果平均の目安
# 7以上: チームとして高い連携が実現できた
# 5-6: 基本的な連携はできているが改善の余地あり
# 4以下: 連携に大きな課題があった
# 

# 
# 【イベントカード記録欄】
# 
# Loop 1で引いたイベント: ID___  タイトル:____________________
# Loop 2で引いたイベント: ID___  タイトル:____________________
# Loop 3で引いたイベント: ID___  タイトル:____________________
# 
# 【閾値イベント記録欄（GMが手動投入した場合）】
# 
# 発生したイベント: ID___  タイトル:____________________  発生ループ:___
# 

# 
# 【Phase 5 他者評価の記録欄】
# 
# ---- Loop 1 ----
# 医師の自己申告と評価結果:
#   ステータス1(症状管理): 申告内容______________ 結果(+2/+1/0/-1/-2):___
#   ステータス2(患者安全確保): 申告内容______________ 結果:___
#   ステータス3(情報提供): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
